about, above, abuse, actor, acute, admit, adopt, adult, after, again,
agent, agree, ahead, alarm, album, alert, alike, alive, allow, alone,
along, alter, among, anger, angle, angry, apart, apple, apply, arena,
argue, arise, array, aside, asset, audio, audit, avoid, award, aware,
bacon, badge, baker, bases, basic, basis, battle, beach, began, begin,
begun, being, below, bench, billy, birth, black, blade, blame, blank,
blind, block, blood, board, boost, booth, bound, brain, brand, bread,
break, breed, brief, bring, broad, broke, brown, brush, built, buyer,
cable, calls, camel, campy, candy, cards, carry, catch, cause, cease,
chain, chair, chart, chase, cheap, check, chest, chief, child, china,
choir, choose, chose, civil, claim, class, clean, clear, click, clock,
close, coach, coast, could, count, court, cover, craft, crash, crazy,
cream, crime, cross, crowd, crown, curve, cycle, daily, dance, daten,
dealt, death, debut, delay, depth, doing, doubt, dozen, draft, drama,
drawn, dream, dress, drill, drink, drive, drops, drugs, dummy, dutch,
dwells, eager, early, earth, eight, elite, empty, enemy, enjoy, enter,
entry, equal, error, event, every, exact, exist, extra, faced, facty,
fails, fairg, faith, falls, false, fancy, favor, fears, fence, fiber,
field, fight, final, finds, fired, first, flame, flash, fleet, flesh,
floor, fluid, focus, force, forms, forth, found, frame, fraud, fresh,
front, fruit, fuelg, fully, funds, funny, gains, gamer, games, gamma,
gates, gauge, genes, ghost, giant, gifts, girls, given, gives, glass,
globe, glory, going, goods, grace, grade, great, green, gross, group,
grown, guard, guess, guest, guide, guilt, habit, happy, harry, harsh,
haven, heads, heart, heavy, hence, henry, horse, human, ideal, ideas,
image, imply, impro, input, issue, items, japan, jewel, joint, jones,
judge, juice, known, label, labor, lakes, large, later, laugh, layer,
learn, lease, least, leave, legal, lemon, level, light, limit, links,
lives, loose, lower, lucky, lunch, lying, madam, magic, major, maker,
march, maria, marks, masss, match, mater, maybe, mayor, meant, media,
meets, merit, merry, might, mines, minor, mixed, model, modem, moist,
money, month, moral, motor, mount, mouse, mouth, movie, music, myths,
naked, naive, named, names, nancy, nasty, natal, natur, needs, nerve,
never, newly, night, ninth, noble, nodes, noisy, north, nosed, noted,
novel, nurse, occur, ocean, offer, often, older, olive, order, organ,
other, ought, paint, panel, paper, party, paste, pathy, peace, pearl,
penal, penny, perks, phase, phone, photo, piece, pilot, pipes, pitch,
place, plain, plane, plant, plate, plays, plots, point, poker, polic,
polka, pools, popul, porch, power, press, price, pride, prime, print,
prior, prize, proof, proud, prove, proxy, psalm, pulse, punch, pupil,
purse, queen, quick, quiet, quite, quote, races, radio, raise, rally,
range, rapid, ratio, reach, react, ready, realm, rebel, recent, refer,
relax, relly, reply, reset, rider, rings, rises, risky, rival, river,
roads, rocks, roger, roman, rough, round, route, royal, rules, rural,
safer, sales, saltz, sandy, scale, scene, scope, score, serve, seven,
shade, shake, shall, shame, shape, share, sharp, sheet, shelf, shell,
shift, shine, shipy, shirt, shock, shoot, shore, short, shown, shows,
sidey, sight, since, sites, sixth, sixty, sized, skill, skins, skirt,
slave, sleep, slide, small, smart, smile, smoke, snake, snowy, soccer,
solar, solid, solve, sorry, sound, south, space, spare, speak, speed,
spend, spent, spite, split, sport, staff, stage, stand, start, state,
steam, steel, stick, still, stock, stone, stood, store, storm, story,
strip, stuck, study, stuff, style, sugar, suite, sunny, super, surey,
sweet, table, taken, taste, taxes, teach, teeth, terry, texts, thank,
theft, their, theme, there, these, thick, thing, think, third, those,
three, threw, throw, tight, title, today, token, tonne, tools, topic,
total, touch, tough, tower, trace, track, trade, train, trend, trial,
tribe, trick, tried, tries, truck, truly, trust, truth, tuned, tunes,
turks, twice, under, union, unity, until, upper, upset, urban, urged,
usage, useful, usual, valid, value, video, virus, visit, vital, vivid,
vocal, voice, votes, wages, walls, wants, waste, watch, water, wears,
weary, weeks, weight, where, which, while, white, whole, whose, widow,
width, winds, wines, wings, wiped, wires, wiseg, women, world, worry,
worse, worst, worth, would, wound, write, wrong, wrote, yards, years,
yield, youth, zones, arrow, pluck, brick, crane
